----------------------------------------------------
       Curve Parameters       | Order | Generator  
  a = 3    b = 4    p = 11    | 14    |   (5, 1)   
  a = 4    b = 4    p = 11    | 11    |   (0, 9)   
  a = 5    b = 4    p = 11    | 8     | Not Cyclic 
  a = 6    b = 4    p = 11    | 16    |   (0, 9)   
  a = 8    b = 4    p = 11    | 10    |   (0, 9)   
  a = 9    b = 4    p = 11    | 18    |   (4, 4)   
  a = 10   b = 4    p = 11    | 15    |   (0, 9)   
  a = 0    b = 5    p = 11    | 12    |   (5, 3)   
  a = 1    b = 5    p = 11    | 11    |   (0, 4)   
  a = 2    b = 5    p = 11    | 10    |   (0, 4)   
  a = 3    b = 5    p = 11    | 9     |   (0, 4)   
  a = 4    b = 5    p = 11    | 8     | Not Cyclic 
  a = 5    b = 5    p = 11    | 18    |   (3, 5)   
  a = 6    b = 5    p = 11    | 17    |   (0, 4)   
  a = 7    b = 5    p = 11    | 16    |   (0, 4)   
  a = 8    b = 5    p = 11    | 15    |   (0, 4)   
  a = 9    b = 5    p = 11    | 14    |   (1, 9)   
  a = 0    b = 6    p = 11    | 12    |   (2, 5)   
  a = 1    b = 6    p = 11    | 13    |   (2, 4)   
  a = 2    b = 6    p = 11    | 14    |   (4, 1)   
  a = 3    b = 6    p = 11    | 15    |   (3, 3)   
  a = 4    b = 6    p = 11    | 16    | Not Cyclic 
  a = 5    b = 6    p = 11    | 6     |   (1, 1)   
  a = 6    b = 6    p = 11    | 7     |   (2, 9)   
  a = 7    b = 6    p = 11    | 8     |   (1, 5)   
  a = 8    b = 6    p = 11    | 9     |   (1, 9)   
  a = 9    b = 6    p = 11    | 10    |   (1, 4)   
  a = 0    b = 7    p = 11    | 12    |   (4, 4)   
  a = 1    b = 7    p = 11    | 15    |   (3, 9)   
  a = 2    b = 7    p = 11    | 7     |   (6, 9)   
  a = 3    b = 7    p = 11    | 10    |   (8, 9)   
  a = 4    b = 7    p = 11    | 13    |   (1, 1)   
  a = 5    b = 7    p = 11    | 16    | Not Cyclic 
  a = 6    b = 7    p = 11    | 8     |   (1, 5)   
  a = 8    b = 7    p = 11    | 14    |   (3, 5)   
  a = 9    b = 7    p = 11    | 6     |   (9, 5)   
  a = 10   b = 7    p = 11    | 9     |   (4, 1)   
  a = 0    b = 8    p = 11    | 12    |   (5, 1)   
  a = 1    b = 8    p = 11    | 6     |   (3, 4)   
  a = 3    b = 8    p = 11    | 16    | Not Cyclic 
  a = 4    b = 8    p = 11    | 10    |   (3, 5)   
  a = 5    b = 8    p = 11    | 15    |   (1, 5)   
  a = 6    b = 8    p = 11    | 9     |   (3, 3)   
  a = 7    b = 8    p = 11    | 14    |   (1, 4)   
  a = 8    b = 8    p = 11    | 8     |   (3, 9)   
  a = 9    b = 8    p = 11    | 13    |   (2, 1)   
  a = 10   b = 8    p = 11    | 7     |   (2, 5)   
  a = 0    b = 9    p = 11    | 12    |   (3, 5)   
  a = 1    b = 9    p = 11    | 8     | Not Cyclic 
  a = 2    b = 9    p = 11    | 15    |   (0, 3)   
  a = 3    b = 9    p = 11    | 11    |   (0, 3)   
  a = 4    b = 9    p = 11    | 18    |   (1, 5)   
  a = 5    b = 9    p = 11    | 14    |   (4, 4)   
  a = 6    b = 9    p = 11    | 10    |   (0, 3)   
  a = 7    b = 9    p = 11    | 17    |   (0, 3)   
  a = 9    b = 9    p = 11    | 9     |   (0, 3)   
  a = 10   b = 9    p = 11    | 16    |   (0, 3)   
  a = 0    b = 10   p = 11    | 12    |   (3, 9)   
  a = 1    b = 10   p = 11    | 10    |   (4, 1)   
  a = 2    b = 10   p = 11    | 8     |   (4, 4)   
  a = 3    b = 10   p = 11    | 6     |   (4, 3)   
  a = 4    b = 10   p = 11    | 15    |   (1, 9)   
  a = 5    b = 10   p = 11    | 13    |   (1, 4)   
  a = 7    b = 10   p = 11    | 9     |   (3, 5)   
  a = 8    b = 10   p = 11    | 7     |   (2, 1)   
  a = 9    b = 10   p = 11    | 16    | Not Cyclic 
  a = 10   b = 10   p = 11    | 14    |   (2, 4)   
  a = 1    b = 0    p = 13    | 20    | Not Cyclic 
  a = 2    b = 0    p = 13    | 10    |   (2, 8)   
  a = 3    b = 0    p = 13    | 20    | Not Cyclic 
  a = 4    b = 0    p = 13    | 8     | Not Cyclic 
  a = 5    b = 0    p = 13    | 10    |   (6, 8)   
  a = 6    b = 0    p = 13    | 10    |   (5, 8)   
  a = 7    b = 0    p = 13    | 18    | Not Cyclic 
  a = 8    b = 0    p = 13    | 18    | Not Cyclic 
  a = 9    b = 0    p = 13    | 20    | Not Cyclic 
  a = 10   b = 0    p = 13    | 8     | Not Cyclic 
  a = 11   b = 0    p = 13    | 18    | Not Cyclic 
  a = 12   b = 0    p = 13    | 8     | Not Cyclic 
  a = 0    b = 1    p = 13    | 12    | Not Cyclic 
  a = 1    b = 1    p = 13    | 18    |   (1, 9)   
  a = 2    b = 1    p = 13    | 8     |   (0, 1)   
  a = 3    b = 1    p = 13    | 18    |   (4, 8)   
  a = 4    b = 1    p = 13    | 19    |   (0, 1)   
  a = 5    b = 1    p = 13    | 8     |   (0, 1)   
  a = 6    b = 1    p = 13    | 8     |   (0, 1)   
  a = 7    b = 1    p = 13    | 16    |   (1, 3)   
  a = 8    b = 1    p = 13    | 16    |   (1, 7)   
  a = 9    b = 1    p = 13    | 18    |   (2, 1)   
  a = 10   b = 1    p = 13    | 19    |   (0, 1)   
  a = 11   b = 1    p = 13    | 16    |   (3, 3)   
  a = 12   b = 1    p = 13    | 19    |   (0, 1)   
  a = 0    b = 2    p = 13    | 19    |   (1, 9)   
  a = 1    b = 2    p = 13    | 12    |   (6, 9)   
  a = 2    b = 2    p = 13    | 15    |   (3, 3)   
  a = 3    b = 2    p = 13    | 12    |   (2, 9)   
  a = 5    b = 2    p = 13    | 15    |   (7, 9)   
  a = 6    b = 2    p = 13    | 15    |   (1, 3)   
  a = 7    b = 2    p = 13    | 10    |   (1, 7)   
  a = 8    b = 2    p = 13    | 10    |   (9, 7)   
  a = 9    b = 2    p = 13    | 12    |   (5, 9)   
  a = 11   b = 2    p = 13    | 10    |   (3, 7)   
  a = 0    b = 3    p = 13    | 9     | Not Cyclic 
  a = 2    b = 3    p = 13    | 18    |   (4, 7)   
  a = 4    b = 3    p = 13    | 16    |   (0, 9)   
  a = 5    b = 3    p = 13    | 18    |   (5, 7)   
  a = 6    b = 3    p = 13    | 18    |   (2, 7)   
  a = 7    b = 3    p = 13    | 13    |   (0, 9)   
  a = 8    b = 3    p = 13    | 13    |   (0, 9)   
  a = 10   b = 3    p = 13    | 16    |   (0, 9)   
  a = 11   b = 3    p = 13    | 13    |   (0, 9)   
  a = 12   b = 3    p = 13    | 16    |   (0, 9)   
  a = 0    b = 4    p = 13    | 21    |   (2, 8)   
  a = 1    b = 4    p = 13    | 14    |   (2, 1)   
  a = 2    b = 4    p = 13    | 17    |  (0, 11)   
  a = 3    b = 4    p = 13    | 14    |   (5, 1)   
  a = 4    b = 4    p = 13    | 15    |  (0, 11)   
  a = 5    b = 4    p = 13    | 17    |  (0, 11)   
  a = 6    b = 4    p = 13    | 17    |  (0, 11)   
  a = 7    b = 4    p = 13    | 12    | Not Cyclic 
  a = 8    b = 4    p = 13    | 12    | Not Cyclic 
  a = 9    b = 4    p = 13    | 14    |  (2, 11)   
  a = 10   b = 4    p = 13    | 15    |  (0, 11)   
  a = 11   b = 4    p = 13    | 12    | Not Cyclic 
  a = 12   b = 4    p = 13    | 15    |  (0, 11)   
  a = 0    b = 5    p = 13    | 16    | Not Cyclic 
  a = 1    b = 5    p = 13    | 9     |   (3, 3)   
  a = 2    b = 5    p = 13    | 12    |  (2, 11)   
  a = 3    b = 5    p = 13    | 9     |   (1, 3)   
  a = 4    b = 5    p = 13    | 10    |   (1, 7)   
  a = 5    b = 5    p = 13    | 12    |   (5, 8)   
  a = 6    b = 5    p = 13    | 12    |   (2, 8)   
  a = 7    b = 5    p = 13    | 20    |   (3, 1)   
  a = 8    b = 5    p = 13    | 20    |   (1, 1)   
  a = 9    b = 5    p = 13    | 9     |   (4, 1)   
  a = 10   b = 5    p = 13    | 10    |   (3, 7)   
  a = 11   b = 5    p = 13    | 20    |  (1, 11)   
  a = 12   b = 5    p = 13    | 10    |   (9, 7)   
  a = 0    b = 6    p = 13    | 7     |   (2, 1)   
  a = 1    b = 6    p = 13    | 13    |   (2, 9)   
  a = 2    b = 6    p = 13    | 16    | Not Cyclic 
  a = 3    b = 6    p = 13    | 13    |   (1, 7)   
  a = 4    b = 6    p = 13    | 14    |   (2, 3)   
  a = 5    b = 6    p = 13    | 16    | Not Cyclic 
  a = 6    b = 6    p = 13    | 16    | Not Cyclic 
  a = 7    b = 6    p = 13    | 11    |   (1, 1)   
  a = 8    b = 6    p = 13    | 11    |  (2, 11)   
  a = 9    b = 6    p = 13    | 13    |   (1, 9)   
  a = 10   b = 6    p = 13    | 14    |  (1, 11)   
  a = 11   b = 6    p = 13    | 11    |   (2, 7)   
  a = 12   b = 6    p = 13    | 14    |  (3, 11)   
  a = 0    b = 7    p = 13    | 7     |   (7, 8)   
  a = 1    b = 7    p = 13    | 13    |   (1, 3)   
  a = 2    b = 7    p = 13    | 16    | Not Cyclic 
  a = 3    b = 7    p = 13    | 13    |  (3, 11)   
  a = 4    b = 7    p = 13    | 14    |   (1, 8)   
  a = 5    b = 7    p = 13    | 16    | Not Cyclic 
  a = 6    b = 7    p = 13    | 16    | Not Cyclic 
  a = 7    b = 7    p = 13    | 11    |   (2, 9)   
  a = 8    b = 7    p = 13    | 11    |   (1, 9)   
  a = 9    b = 7    p = 13    | 13    |  (1, 11)   
  a = 10   b = 7    p = 13    | 14    |   (3, 8)   
  a = 11   b = 7    p = 13    | 11    |   (6, 9)   
  a = 12   b = 7    p = 13    | 14    |  (8, 11)   
  a = 0    b = 8    p = 13    | 16    | Not Cyclic 
  a = 1    b = 8    p = 13    | 9     |   (3, 8)   
  a = 2    b = 8    p = 13    | 12    |   (7, 1)   
  a = 3    b = 8    p = 13    | 9     |   (1, 8)   
  a = 4    b = 8    p = 13    | 10    |   (6, 1)   
  a = 5    b = 8    p = 13    | 12    |   (7, 3)   
  a = 6    b = 8    p = 13    | 12    |   (8, 3)   
  a = 7    b = 8    p = 13    | 20    |   (1, 9)   
  a = 8    b = 8    p = 13    | 20    |   (9, 9)   
  a = 9    b = 8    p = 13    | 9     |  (4, 11)   
  a = 10   b = 8    p = 13    | 10    |   (5, 1)   
  a = 11   b = 8    p = 13    | 20    |   (3, 9)   
  a = 12   b = 8    p = 13    | 10    |   (2, 1)   
  a = 0    b = 9    p = 13    | 21    |   (1, 7)   
  a = 1    b = 9    p = 13    | 14    |   (5, 3)   
  a = 2    b = 9    p = 13    | 17    |   (0, 3)   
  a = 3    b = 9    p = 13    | 14    |   (6, 3)   
  a = 4    b = 9    p = 13    | 15    |   (0, 3)   
  a = 5    b = 9    p = 13    | 17    |   (0, 3)   
  a = 6    b = 9    p = 13    | 17    |   (0, 3)   
  a = 7    b = 9    p = 13    | 12    | Not Cyclic 
  a = 8    b = 9    p = 13    | 12    | Not Cyclic 
  a = 9    b = 9    p = 13    | 14    |   (2, 3)   
  a = 10   b = 9    p = 13    | 15    |   (0, 3)   
  a = 11   b = 9    p = 13    | 12    | Not Cyclic 
  a = 12   b = 9    p = 13    | 15    |   (0, 3)   
  a = 0    b = 10   p = 13    | 9     | Not Cyclic 
  a = 2    b = 10   p = 13    | 18    |  (6, 11)   
  a = 4    b = 10   p = 13    | 16    |   (0, 7)   
  a = 5    b = 10   p = 13    | 18    |   (1, 9)   
  a = 6    b = 10   p = 13    | 18    |  (2, 11)   
  a = 7    b = 10   p = 13    | 13    |   (0, 7)   
  a = 8    b = 10   p = 13    | 13    |   (0, 7)   
  a = 10   b = 10   p = 13    | 16    |   (0, 7)   
  a = 11   b = 10   p = 13    | 13    |   (0, 7)   
  a = 12   b = 10   p = 13    | 16    |   (0, 7)   
  a = 0    b = 11   p = 13    | 19    |   (1, 8)   
  a = 1    b = 11   p = 13    | 12    |   (6, 8)   
  a = 2    b = 11   p = 13    | 15    |   (2, 7)   
  a = 3    b = 11   p = 13    | 12    |   (2, 8)   
  a = 5    b = 11   p = 13    | 15    |  (1, 11)   
  a = 6    b = 11   p = 13    | 15    |  (3, 11)   
  a = 7    b = 11   p = 13    | 10    |   (9, 7)   
  a = 8    b = 11   p = 13    | 10    |   (3, 7)   
  a = 9    b = 11   p = 13    | 12    |   (5, 8)   
  a = 11   b = 11   p = 13    | 10    |   (1, 7)   
  a = 0    b = 12   p = 13    | 12    | Not Cyclic 
  a = 1    b = 12   p = 13    | 18    |   (1, 1)   
  a = 2    b = 12   p = 13    | 8     |   (0, 8)   
  a = 3    b = 12   p = 13    | 18    |   (4, 7)   
  a = 4    b = 12   p = 13    | 19    |   (0, 8)   
  a = 5    b = 12   p = 13    | 8     |   (0, 8)   
  a = 6    b = 12   p = 13    | 8     |   (0, 8)   
  a = 7    b = 12   p = 13    | 16    |   (6, 7)   
  a = 8    b = 12   p = 13    | 16    |   (2, 7)   
  a = 9    b = 12   p = 13    | 18    |   (3, 1)   
  a = 10   b = 12   p = 13    | 19    |   (0, 8)   
  a = 11   b = 12   p = 13    | 16    |   (4, 9)   
  a = 12   b = 12   p = 13    | 19    |   (0, 8)   
  a = 1    b = 0    p = 17    | 16    | Not Cyclic 
  a = 2    b = 0    p = 17    | 20    | Not Cyclic 
  a = 3    b = 0    p = 17    | 26    |   (3, 6)   
  a = 4    b = 0    p = 17    | 16    | Not Cyclic 
  a = 5    b = 0    p = 17    | 26    |  (3, 12)   
  a = 6    b = 0    p = 17    | 10    |   (5, 6)   
  a = 7    b = 0    p = 17    | 10    |   (7, 1)   
  a = 8    b = 0    p = 17    | 20    | Not Cyclic 
  a = 9    b = 0    p = 17    | 20    | Not Cyclic 
  a = 10   b = 0    p = 17    | 10    |   (6, 2)   
  a = 11   b = 0    p = 17    | 10    |  (3, 14)   
  a = 12   b = 0    p = 17    | 26    |   (5, 7)   
  a = 13   b = 0    p = 17    | 16    | Not Cyclic 
  a = 14   b = 0    p = 17    | 26    |   (3, 1)   
  a = 15   b = 0    p = 17    | 20    | Not Cyclic 
  a = 16   b = 0    p = 17    | 16    | Not Cyclic 
  a = 0    b = 1    p = 17    | 18    |   (6, 8)   
  a = 1    b = 1    p = 17    | 18    |   (0, 1)   
  a = 2    b = 1    p = 17    | 24    | Not Cyclic 
  a = 3    b = 1    p = 17    | 15    |   (2, 7)   
  a = 4    b = 1    p = 17    | 24    |   (7, 7)   
  a = 6    b = 1    p = 17    | 22    |  (1, 12)   
  a = 7    b = 1    p = 17    | 24    |   (0, 1)   
  a = 8    b = 1    p = 17    | 19    |   (0, 1)   
  a = 9    b = 1    p = 17    | 21    |   (0, 1)   
  a = 10   b = 1    p = 17    | 13    |   (0, 1)   
  a = 11   b = 1    p = 17    | 15    |   (1, 8)   
  a = 12   b = 1    p = 17    | 16    |   (0, 1)   
  a = 13   b = 1    p = 17    | 25    |   (0, 1)   
  a = 14   b = 1    p = 17    | 20    | Not Cyclic 
  a = 15   b = 1    p = 17    | 16    |   (6, 1)   
  a = 16   b = 1    p = 17    | 14    |   (0, 1)   
  a = 0    b = 2    p = 17    | 18    |   (4, 7)   
  a = 1    b = 2    p = 17    | 24    |   (5, 8)   
  a = 2    b = 2    p = 17    | 19    |   (0, 6)   
  a = 3    b = 2    p = 17    | 16    |   (0, 6)   
  a = 4    b = 2    p = 17    | 14    |   (0, 6)   
  a = 5    b = 2    p = 17    | 15    |   (4, 1)   
  a = 6    b = 2    p = 17    | 24    |   (0, 6)   
  a = 7    b = 2    p = 17    | 15    |   (3, 4)   
  a = 8    b = 2    p = 17    | 16    |  (2, 14)   
  a = 9    b = 2    p = 17    | 24    | Not Cyclic 
  a = 10   b = 2    p = 17    | 22    |   (1, 8)   
  a = 11   b = 2    p = 17    | 13    |   (0, 6)   
  a = 12   b = 2    p = 17    | 20    | Not Cyclic 
  a = 13   b = 2    p = 17    | 18    |   (0, 6)   
  a = 15   b = 2    p = 17    | 21    |   (0, 6)   
  a = 16   b = 2    p = 17    | 25    |   (0, 6)   
  a = 0    b = 3    p = 17    | 18    |   (3, 8)   
  a = 1    b = 3    p = 17    | 17    |   (2, 8)   
  a = 2    b = 3    p = 17    | 22    |   (2, 7)   
  a = 3    b = 3    p = 17    | 12    |  (14, 1)   
  a = 4    b = 3    p = 17    | 20    |  (1, 12)   
  a = 5    b = 3    p = 17    | 14    |   (2, 2)   
  a = 6    b = 3    p = 17    | 16    | Not Cyclic 
  a = 8    b = 3    p = 17    | 11    |   (5, 7)   
  a = 9    b = 3    p = 17    | 12    |   (4, 1)   
  a = 10   b = 3    p = 17    | 20    |  (3, 14)   
  a = 11   b = 3    p = 17    | 21    |   (1, 7)   
  a = 12   b = 3    p = 17    | 21    |   (1, 4)   
  a = 13   b = 3    p = 17    | 12    | Not Cyclic 
  a = 14   b = 3    p = 17    | 23    |   (1, 1)   
  a = 15   b = 3    p = 17    | 18    |  (14, 4)   
  a = 16   b = 3    p = 17    | 15    |  (6, 14)   
  a = 0    b = 4    p = 17    | 18    |  (10, 1)   
  a = 1    b = 4    p = 17    | 14    |   (0, 2)   
  a = 2    b = 4    p = 17    | 16    |   (2, 4)   
  a = 3    b = 4    p = 17    | 20    | Not Cyclic 
  a = 4    b = 4    p = 17    | 25    |   (0, 2)   
  a = 5    b = 4    p = 17    | 16    |   (0, 2)   
  a = 6    b = 4    p = 17    | 15    |   (3, 7)   
  a = 7    b = 4    p = 17    | 13    |   (0, 2)   
  a = 8    b = 4    p = 17    | 21    |   (0, 2)   
  a = 9    b = 4    p = 17    | 19    |   (0, 2)   
  a = 10   b = 4    p = 17    | 24    |   (0, 2)   
  a = 11   b = 4    p = 17    | 22    |   (7, 4)   
  a = 13   b = 4    p = 17    | 24    |   (2, 2)   
  a = 14   b = 4    p = 17    | 15    |   (1, 6)   
  a = 15   b = 4    p = 17    | 24    | Not Cyclic 
  a = 16   b = 4    p = 17    | 18    |   (0, 2)   
  a = 0    b = 5    p = 17    | 18    |   (3, 7)   
  a = 1    b = 5    p = 17    | 15    |   (2, 7)   
  a = 2    b = 5    p = 17    | 18    |   (5, 2)   
  a = 3    b = 5    p = 17    | 23    |  (1, 14)   
  a = 4    b = 5    p = 17    | 12    | Not Cyclic 
  a = 5    b = 5    p = 17    | 21    |   (3, 8)   
  a = 6    b = 5    p = 17    | 21    |  (2, 12)   
  a = 7    b = 5    p = 17    | 20    |   (1, 8)   
  a = 8    b = 5    p = 17    | 12    |  (11, 8)   
  a = 9    b = 5    p = 17    | 11    |   (1, 7)   
  a = 11   b = 5    p = 17    | 16    | Not Cyclic 
  a = 12   b = 5    p = 17    | 14    |   (6, 2)   
  a = 13   b = 5    p = 17    | 20    |   (1, 6)   
  a = 14   b = 5    p = 17    | 12    |   (5, 8)   
  a = 15   b = 5    p = 17    | 22    |   (1, 2)   
  a = 16   b = 5    p = 17    | 17    |   (7, 1)   
  a = 0    b = 6    p = 17    | 18    |   (6, 1)   
  a = 1    b = 6    p = 17    | 20    |   (2, 4)   
  a = 2    b = 6    p = 17    | 11    |  (1, 14)   
  a = 3    b = 6    p = 17    | 21    |   (6, 6)   
  a = 4    b = 6    p = 17    | 15    |   (4, 1)   
  a = 5    b = 6    p = 17    | 12    |   (9, 7)   
  a = 7    b = 6    p = 17    | 21    |   (4, 8)   
  a = 8    b = 6    p = 17    | 18    |   (1, 7)   
  a = 9    b = 6    p = 17    | 22    |   (2, 7)   
  a = 10   b = 6    p = 17    | 16    | Not Cyclic 
  a = 11   b = 6    p = 17    | 20    |   (2, 6)   
  a = 12   b = 6    p = 17    | 23    |   (1, 6)   
  a = 13   b = 6    p = 17    | 17    |   (3, 2)   
  a = 14   b = 6    p = 17    | 14    |   (1, 2)   
  a = 15   b = 6    p = 17    | 12    |   (5, 6)   
  a = 16   b = 6    p = 17    | 12    | Not Cyclic 
  a = 0    b = 7    p = 17    | 18    |   (6, 6)   
  a = 1    b = 7    p = 17    | 12    | Not Cyclic 
  a = 2    b = 7    p = 17    | 12    |  (8, 12)   
  a = 3    b = 7    p = 17    | 14    |  (3, 14)   
  a = 4    b = 7    p = 17    | 17    |   (4, 6)   
  a = 5    b = 7    p = 17    | 23    |   (1, 8)   
  a = 6    b = 7    p = 17    | 20    |  (5, 14)   
  a = 7    b = 7    p = 17    | 16    | Not Cyclic 
  a = 8    b = 7    p = 17    | 22    |   (1, 4)   
  a = 9    b = 7    p = 17    | 18    |  (11, 14)  
  a = 10   b = 7    p = 17    | 21    |   (1, 1)   
  a = 12   b = 7    p = 17    | 12    |  (11, 12)  
  a = 13   b = 7    p = 17    | 15    |   (1, 2)   
  a = 14   b = 7    p = 17    | 21    |  (2, 14)   
  a = 15   b = 7    p = 17    | 11    |   (7, 8)   
  a = 16   b = 7    p = 17    | 20    |   (2, 8)   
  a = 0    b = 8    p = 17    | 18    |  (1, 14)   
  a = 1    b = 8    p = 17    | 25    |  (0, 12)   
  a = 2    b = 8    p = 17    | 21    |  (0, 12)   
  a = 4    b = 8    p = 17    | 18    |  (0, 12)   
  a = 5    b = 8    p = 17    | 20    | Not Cyclic 
  a = 6    b = 8    p = 17    | 13    |  (0, 12)   
  a = 7    b = 8    p = 17    | 22    |   (2, 8)   
  a = 8    b = 8    p = 17    | 24    | Not Cyclic 
